127.0.0.1 - - [14/Jul/2024:23:12:47 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/ HTTP/1.1" 200 8659
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73271
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 63781
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 163873
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/css/style.css HTTP/1.1" 200 30653
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 15563
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/purecounter/purecounter.js HTTP/1.1" 200 4958
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/img/hero-img.png HTTP/1.1" 200 25868
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78129
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 135617
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 56222
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/js/main.js HTTP/1.1" 200 4841
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/img/hero-bg.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:49 +0530] "GET /SMEVCS/assets/img/about.png HTTP/1.1" 200 30416
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:50 +0530] "GET /SMEVCS/assets/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 200 102988
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:50 +0530] "GET /SMEVCS/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?a74547b2f0863226942ff8ded57db345 HTTP/1.1" 200 92004
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:12:56 +0530] "GET /SMEVCS/AdminLogin.jsp HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:13:00 +0530] "POST /SMEVCS/AdminLoginController HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:13:02 +0530] "GET /SMEVCS/AdminHome.jsp HTTP/1.1" 200 4687
